City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather,Rain last hour,Snow last hour,Date
559,Manaus,-3.1,-60.02,78.8,94,40,2.17,BR,scattered clouds,0.0,0,2020-07-01 03:33:25
560,Nadym,65.53,72.52,56.57,59,39,10.83,RU,scattered clouds,0.0,0,2020-07-01 03:33:26
561,Peplos,40.96,26.27,73.36,65,0,8.1,GR,clear sky,0.0,0,2020-07-01 03:33:26
562,Chumikan,54.72,135.31,47.66,95,100,2.68,RU,light rain,0.26,0,2020-07-01 03:33:26
563,Eldorado,-23.79,-54.28,56.48,86,95,11.54,BR,overcast clouds,0.0,0,2020-07-01 03:33:26
564,Petropavlovsk-Kamchatskiy,53.05,158.65,73.4,46,32,13.42,RU,scattered clouds,0.0,0,2020-07-01 03:30:40
565,Dauphin,51.15,-100.05,73.4,73,90,6.93,CA,light rain,0.0,0,2020-07-01 03:33:27
566,Ugoofaaru,5.67,73.0,83.34,77,90,9.57,MV,overcast clouds,0.0,0,2020-07-01 03:33:27
567,Victoria Point,-27.58,153.3,73.0,64,11,3.0,AU,few clouds,0.0,0,2020-07-01 03:33:28
568,Vila,42.03,-8.16,64.0,93,75,5.82,PT,broken clouds,0.0,0,2020-07-01 03:33:28
569,Olenegorsk,68.15,33.3,53.11,83,100,13.0,RU,overcast clouds,0.0,0,2020-07-01 03:33:28
570,Dire Dawa,9.59,41.87,71.67,61,100,17.43,ET,overcast clouds,0.0,0,2020-07-01 03:33:29
571,Ganzhou,28.82,115.43,89.24,65,100,3.85,CN,overcast clouds,0.0,0,2020-07-01 03:33:29
572,Pontes E Lacerda,-15.23,-59.34,70.77,72,85,0.45,BR,overcast clouds,0.0,0,2020-07-01 03:33:29
573,Obera,-27.49,-55.12,48.74,87,94,7.9,AR,overcast clouds,0.0,0,2020-07-01 03:33:30
574,Ratnagiri,16.98,73.3,83.32,79,96,12.55,IN,overcast clouds,0.0,0,2020-07-01 03:33:30
